"Keyword","Name","Help Text"
"3_headed_attack","3-Headed Attack","With the 3-Headed Attack all enemies standing to the left, front and right of the creature are attacked simultaneously."
"aging","Aging","This creature's attack has a chance of temporarily Aging the enemy.  An Aged target has its Attack skill decreased by 25%, its Defense skill decreased by 20%, and its Speed and Movement reduced by 50%."
"area_effect","Area Attack","This creature's Area Attack allows its ranged attacks to strike all targets, friendly or hostile, in a small area."
"berserk","Berserk","A Berserk creature must attack or move to attack every turn.  They cannot wait.  They are also immune to all forms of fear."
"binding","Binding","Binding allows the creature to Bind the last creature it attacks with its forelimbs.  Bound enemies cannot move, though they can still attack, retaliate and cast spells.  Bound creatures do half damage when they attack.  If the attacking creature moves, the Binding is also removed."
"blinding","Blinding","This creature's attack has a chance of Blinding an enemy."
"block","Block","Block gives this creature a chance of completely blocking any melee, ranged, or area effect attack."
"bloodlust","Bloodlust","The creature can cast the Chaos Magic spell Bloodlust."
"sea_bonus","Bonuses at Sea","Bonuses at Sea makes this creature faster and allows it to do more damage when fighting on the deck of a ship.  Its Melee and Ranged Defense also increases."
"breath_attack","Breath Attack","This creature's Breath Attack allows it to attack with a blast of fire that may also harm creatures directly behind an enemy target."
"cave_dweller","Cave Dweller","The creature cannot be exposed to sunlight.  If it ever leaves the underworld, it will turn instantly into stone."
"chaos_protection","Chaos Ward","Chaos Ward makes this creature 50% resistant to Chaos spells, and its Melee and Ranged Defense is increased by 50% against Chaos-aligned opponents."
"charging","Charge","Charge allows this creature to do more damage after it charges for a long distance before attacking."
"cold_attack","Cold Attack","In combat, this creature's normal attack is a Cold Attack, so targets with Cold Resistance will take less damage."
"cold_resistance","Cold Resistance","Cold Resistance makes this creature immune to cold-based spells.  It also takes half damage from enemies with cold-based attacks."
"curse","Curse","Curse causes this creature's normal attack to also act as the Death Magic spell Curse."
"death_protection","Death Ward","Death Ward makes this creature 50% resistant to Death spells, and its Melee and Ranged Defense is increased by 50% against Death-aligned opponents."
"devouring","Devouring","This creature's Devouring ability gives it a chance of swallowing an enemy whole when it attacks."
"elemental","Elemental","Elementals are immune to certain spells (such as Poison) that only work on normal, living creatures."
"panic","Fear","This creature's attack to sends out a wave of Fear that keeps its opponent from retaliating.  After the attack, the opponent struck by Fear runs away for a short distance."
"fire_attack","Fire Attack","In combat, this creature's normal attack is a Fire Attack, so targets with Fire Resistance will take less damage."
