Добавлены или изменены в 3х текстовиках (WF_OB_txt.pac: z/za/ze objcts.txt):

AVSmgarn.def 000111110001111111111111111111111111111111111111 010000000000000000000000000000000000000000000000 111111111 011111111 4 1 0 0

avmnsion.def 000111111111111111111111111111111111111111111111 010000000000000000000000000000000000000000000000 111111111 011111111 16 24 0 0
avredtwr.def 110111111101111111111111111111111111111111111111 001000000000000000000000000000000000000000000000 111111111 011111111 16 26 0 0
avcmetry.def 000111111111111111111111111111111111111111111111 010000000000000000000000000000000000000000000000 111111111 011110111 16 29 0 0
avcmetrs.def 000111111111111111111111111111111111111111111111 010000000000000000000000000000000000000000000000 111111111 000001000 16 29 0 0
AVXbnk90.def 001111111111111111111111111111111111111111111111 100000000000000000000000000000000000000000000000 111111111 011110111 16 30 0 0
AVXbnk9s.def 001111111111111111111111111111111111111111111111 100000000000000000000000000000000000000000000000 111111111 000001000 16 30 0 0
AVXbnk80.def 101111111111111111111111111111111111111111111111 010000000000000000000000000000000000000000000000 111111111 011111111 16 31 0 0

AVSutop0.def 100011111000001100001111111111111111111111111111 010000000000000000000000000000000000000000000000 001100011 001100011 25 0 0 0
UtopiaGr.def 100011111000001100001111111111111111111111111111 010000000000000000000000000000000000000000000000 000010100 000010100 25 0 0 0
UtopiaLv.def 100011111000001100001111111111111111111111111111 010000000000000000000000000000000000000000000000 010000000 010000000 25 0 0 0

AVXhild0.def 001111111111111111111111111111111111111111111111 100000000000000000000000000000000000000000000000 000000001 000000001 35 0 0 0
AVXhils0.def 001111111111111111111111111111111111111111111111 100000000000000000000000000000000000000000000000 000000010 000000010 35 0 0 0
AVXhilg0.def 001111111111111111111111111111111111111111111111 100000000000000000000000000000000000000000000000 000000100 000000100 35 0 0 0
Zfohill0.def 001111111111111111111111111111111111111111111111 100000000000000000000000000000000000000000000000 000001000 000001000 35 0 0 0
AVXhilm0.def 001111111111111111111111111111111111111111111111 100000000000000000000000000000000000000000000000 000010000 000010000 35 0 0 0
AVXhilr0.def 001111111111111111111111111111111111111111111111 100000000000000000000000000000000000000000000000 000100000 000100000 35 0 0 0
AVXhilu0.def 001111111111111111111111111111111111111111111111 100000000000000000000000000000000000000000000000 001000000 001000000 35 0 0 0
AVXhill0.def 001111111111111111111111111111111111111111111111 100000000000000000000000000000000000000000000000 010000000 010000000 35 0 0 0

AVSlibr0.def 000011110011111111111111111111111111111111111111 010000000000000000000000000000000000000000000000 011110111 011110111 41 0 0 0
Z358O3.def 000011110011111111111111111111111111111111111111 010000000000000000000000000000000000000000000000 000001000 000001000 41 0 0 0

AVXwelr0.def 011111111111111111111111111111111111111111111111 100000000000000000000000000000000000000000000000 011110111 011110111 49 0 0 0
AVXwlsn0.def 011111111111111111111111111111111111111111111111 100000000000000000000000000000000000000000000000 000001000 000001000 49 0 0 0

AVTmyst0.def 000111111111111111111111111111111111111111111111 010000000000000000000000000000000000000000000000 000010100 000010100 55 0 0 0
AVTmystd.def 001111111111111111111111111111111111111111111111 010000000000000000000000000000000000000000000000 000000001 000000001 55 0 0 0

AVXtvrn0.def 001111111111111111111111111111111111111111111111 010000000000000000000000000000000000000000000000 011110111 011110111 95 0 0 0
Z358O7.def 001111111111111111111111111111111111111111111111 010000000000000000000000000000000000000000000000 000001000 000001000 95 0 0 0

AVXtrek0.def 101111111111111111111111111111111111111111111111 010000000000000000000000000000000000000000000000 000000101 000000101 102 0 0 0
AVXtrek1.def 101111111111111111111111111111111111111111111111 010000000000000000000000000000000000000000000000 000000010 000000010 102 0 0 0
Z358O6.def 101111111111111111111111111111111111111111111111 010000000000000000000000000000000000000000000000 000001000 000001000 102 0 0 0
AVXtrek2.def 101111111111111111111111111111111111111111111111 010000000000000000000000000000000000000000000000 000010000 000010000 102 0 0 0
AVXtrek3.def 101111111111111111111111111111111111111111111111 010000000000000000000000000000000000000000000000 001000000 001000000 102 0 0 0

AVMwwhl0.def 000111111111111111111111111111111111111111111111 100000000000000000000000000000000000000000000000 000010101 000010101 109 0 0 0
AVMwwsn0.def 000111111111111111111111111111111111111111111111 100000000000000000000000000000000000000000000000 000001000 000001000 109 0 0 0

AVMwndd0.def 101111111111111111111111111111111111111111111111 010000000000000000000000000000000000000000000000 011110111 011110111 112 0 0 0
AVMwmsn0.def 101111111111111111111111111111111111111111111111 010000000000000000000000000000000000000000000000 000001000 000001000 112 0 0 0

AVSwtch0.def 101111111111111111111111111111111111111111111111 010000000000000000000000000000000000000000000000 011110111 011110111 113 0 0 0
Z358O4.def 101111111111111111111111111111111111111111111111 010000000000000000000000000000000000000000000000 000001000 000001000 113 0 0 0


Добавлены артефакты Хоты (+сет темного паладина) в двух текстовиках (WF_OB_txt.pac: z/ze objcts.txt):

ava0172.def 011111111111111111111111111111111111111111111111 100000000000000000000000000000000000000000000000 111111111 000000001 5 171 4 0
ava0173.def 011111111111111111111111111111111111111111111111 100000000000000000000000000000000000000000000000 111111111 000000001 5 172 4 0
ava0174.def 011111111111111111111111111111111111111111111111 100000000000000000000000000000000000000000000000 111111111 000000001 5 173 4 0
ava0175.def 011111111111111111111111111111111111111111111111 100000000000000000000000000000000000000000000000 111111111 000000001 5 174 4 0
ava0176.def 011111111111111111111111111111111111111111111111 100000000000000000000000000000000000000000000000 111111111 000000001 5 175 4 0
ava0177.def 011111111111111111111111111111111111111111111111 100000000000000000000000000000000000000000000000 111111111 000000001 5 176 4 0
ava0178.def 011111111111111111111111111111111111111111111111 100000000000000000000000000000000000000000000000 111111111 000000001 5 177 4 0
ava0179.def 011111111111111111111111111111111111111111111111 100000000000000000000000000000000000000000000000 111111111 000000001 5 178 4 0
